driveruuid,week_date,Acceptance rate,Cancellation rate
067be17a-38d3-4a03-89f6-8755902ded15,11/15/2021,0.6,0.04
ef28088d-577c-444a-9198-53d9223ec834,11/15/2021,0.3,0.1
18c8be73-4d81-4e14-8494-1250fd058c63,11/15/2021,0.37,0.07
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/15/2021,0.63,0.25
1be5bb04-5d57-48a3-84f9-276289d054d2,11/15/2021,0.87,0.1
3ad75905-9ba9-4323-9e93-41f23e6234ee,11/15/2021,0.71,0.09
fc566d15-8f50-45e5-b053-dbacc66156b8,11/15/2021,0.8,0.15
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/15/2021,0.61,0.14
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/15/2021,0.41,0.06
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/15/2021,0.87,0.12
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/15/2021,0.56,0.16
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/15/2021,0.86,0.13
642190f4-6e94-464d-b722-af7053996efe,11/15/2021,0.91,0.08
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/15/2021,0.85,0.08
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/15/2021,0.49,0.03
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/15/2021,0.76,0.08
37e4b055-d577-4400-8fd1-274f30d71edc,11/15/2021,0.32,0.1
42d1861f-7e1c-4d83-b912-84a7351870c4,11/15/2021,0.91,0.07
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/15/2021,0.86,0.16
5070b315-eba0-4478-bd47-2fc1318bec56,11/15/2021,0.83,0.06
0c09298b-4156-483c-b8ca-f7bff13693d3,11/15/2021,0.51,0.06
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/15/2021,0.67,0.1
e351c89a-c080-4e55-a68f-967d30651a76,11/15/2021,0.54,0.11
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/15/2021,0.81,0.1
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/15/2021,0.47,0.09
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/15/2021,0.69,0.05
c4328d0c-7df6-458b-9ee3-c355a0489473,11/15/2021,0.48,0.07
64b1af9b-1e55-470d-85db-341ad457c1c9,11/15/2021,0.34,0.03
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/15/2021,0.47,0.03
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/15/2021,0.94,0.14
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/15/2021,0.58,0.13
1e2a43b1-10c7-4530-8582-9004904da430,11/15/2021,0.7,0.05
2285677b-2537-479b-8a59-c28382950172,11/15/2021,0.98,0.1
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/15/2021,0.55,0.08
23767254-acb5-4577-b91d-899f148305b7,11/15/2021,0.65,0.05
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/15/2021,0.49,0.06
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/15/2021,0.69,0.2
34e8476d-0af3-4470-ac87-9889108f6e8f,11/15/2021,0.79,0.13
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/15/2021,0.71,0.05
6571bd8c-2934-48ea-970a-f5a729e244d6,11/15/2021,0.35,0.01
72726042-8296-4d3e-8e92-b3af8796cadf,11/15/2021,0.97,0.03
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/15/2021,0.26,0.05
10331f84-271a-4d04-87db-c1f06705b140,11/15/2021,0.69,0.06
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/15/2021,0.66,0.12
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/15/2021,0.81,0.06
0d0997c0-e952-46c3-af4d-0a38987ee076,11/15/2021,0.42,0.09
b09c4b8d-7106-49e5-ae37-a6df27cb0860,11/15/2021,0.93,0.14
2381265f-c6b6-4eed-b612-05be3016ce84,11/15/2021,0.58,0.11
fc27465a-f75d-4e44-ac84-bd12d2e582d3,11/15/2021,1,0.12
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,11/15/2021,0.85,0.07
7043246b-2b90-4673-ba40-920dc13eb064,11/15/2021,0.89,0.1
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/15/2021,0.4,0.09
f461930b-f3b0-42a2-989d-21551dd730ad,11/15/2021,0.48,0.02
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/15/2021,0.36,0.03
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/15/2021,0.53,0.17
ca28e5e6-0944-4cac-9e92-1741421e0165,11/15/2021,0.85,0.06
54d026c7-a5be-4b7c-b4ff-c3a4c204edd5,11/15/2021,0.2,0
9dc18c52-52d1-492e-a951-961da5bd2c55,11/15/2021,0.97,0.06
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/15/2021,0.68,0.08
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/15/2021,0.64,0.1
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/15/2021,0.33,0.08
fcd39e00-30e7-4893-9a26-907e29d33f22,11/15/2021,0.95,0.11
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/15/2021,0.53,0.06
60e24218-a9cd-4344-a79e-ddbc78345e34,11/15/2021,0.85,0.1
d1326348-cea6-4e6b-bf82-b536959797ad,11/15/2021,0.69,0.07
4e174a23-5fcb-46f7-ad15-1d726129a541,11/15/2021,0.65,0.06
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/15/2021,0.52,0.02
a20cd138-ffad-455d-a834-a6344531b3dc,11/15/2021,0.6,0.09
ea0274de-ed88-4718-b64e-bb0342eb7574,11/15/2021,0.62,0.08
0c219f52-1435-4b21-994a-6a3bd25d974e,11/15/2021,0.48,0.02
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/15/2021,0.35,0.03
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/15/2021,0.46,0.05
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/15/2021,0.76,0.14
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/15/2021,0.41,0.05
73e127c0-dd7f-4637-8126-ae278fade6cf,11/15/2021,0.87,0.31
4e7ce887-6332-4c87-883b-2704ca6279ee,11/15/2021,0.19,0.01
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/15/2021,0.78,0.29
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/15/2021,0.56,0.08
