driveruuid,week_date,Km
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/15/2021,345.6
1116832d-4532-4ec2-993a-44f35c678991,11/15/2021,296.96
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/15/2021,405.43
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/15/2021,100.99
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/15/2021,534.8
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/15/2021,353.13
cefa509f-c3db-4a0a-a591-436cda98f832,11/15/2021,964.17
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/15/2021,927.24
4378e378-898e-43fd-a1c8-0f22d59621e8,11/15/2021,470.39
52fb4a5c-dd17-44af-b100-6e184f842f00,11/15/2021,827.38
0bd4c66a-edb4-4b46-b789-903fec02357b,11/15/2021,636.25
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/15/2021,394.51
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/15/2021,341.57
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/15/2021,687.12
33e193cf-2ae5-4763-a586-7d90d15746ca,11/15/2021,891.49
801589ab-55c1-48e4-962d-2e6478d895a3,11/15/2021,355.22
d0233aeb-ef6b-4576-a686-6d268a3e1edf,11/15/2021,415.56
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/15/2021,558.11
38892d97-929e-419b-8e77-28ead1e48ba9,11/15/2021,734.47
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/15/2021,563.15
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/15/2021,568.86
92679160-f742-4424-a6df-b6424ee49c81,11/15/2021,875.27
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/15/2021,713.8
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,11/15/2021,557.02
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/15/2021,543.55
684e978b-efc4-4507-a42b-12f8d5b1d842,11/15/2021,166.36
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/15/2021,562.55
a4812789-4bcb-43fb-ae12-36d5830c721a,11/15/2021,344.75
05b21f09-82bd-4700-b129-2924d9caa0c8,11/15/2021,1008.22
cf780027-663b-4d09-b52a-96014af1d864,11/15/2021,851.61
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/15/2021,846.64
cefc3776-aaf8-4ab9-ac7c-aff0753fbf38,11/15/2021,176.45
18306656-762e-484f-8fb9-f363082beee5,11/15/2021,532.91
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/15/2021,458.04
c311ff34-354f-4d84-9f1d-e1c3001f3de4,11/15/2021,478.51
7484ab64-c7ba-48a9-8086-220bcf65dc4c,11/15/2021,123.32
64f548b6-2c66-4147-8968-03edf1b70730,11/15/2021,660.4
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/15/2021,623.12
795d9d2a-a0fc-414d-b619-f17396891511,11/15/2021,13.16
a1446a7d-2373-4286-b148-572dbc29cc4b,11/15/2021,355.41
be042639-a971-4776-95f4-fc9f30037c10,11/15/2021,990.45
