driveruuid,week_date,supply_hours,trip_hours
18c8be73-4d81-4e14-8494-1250fd058c63,11/15/2021,6.58333,0.73333
067be17a-38d3-4a03-89f6-8755902ded15,11/15/2021,73.05,41.85
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/15/2021,65.25,24.13333
ef28088d-577c-444a-9198-53d9223ec834,11/15/2021,52.8,16.43333
cf780027-663b-4d09-b52a-96014af1d864,11/15/2021,75.56666,37.88333
72726042-8296-4d3e-8e92-b3af8796cadf,11/15/2021,84.76666,36.28333
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/15/2021,36.98333,11.61666
10331f84-271a-4d04-87db-c1f06705b140,11/15/2021,64.56666,38.33333
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/15/2021,63.2,31.16666
795d9d2a-a0fc-414d-b619-f17396891511,11/15/2021,2.95,0.96666
1922032d-26ad-469d-8747-75dc05d5c491,11/15/2021,66.48333,38.28333
77c481f3-ee2e-4b2f-ac12-ec2097f1abb5,11/15/2021,13.48333,4.2
be042639-a971-4776-95f4-fc9f30037c10,11/15/2021,78.53333,46.45
c2f9941e-737e-428b-b2a1-ea034759bb0f,11/15/2021,61.86666,24.03333
62588413-4dad-4b90-93e4-819f63bdae67,11/15/2021,76.55,43.96666
ab0c2d68-737b-4b39-a2bd-a57068184096,11/15/2021,68.01666,32.38333
b09c4b8d-7106-49e5-ae37-a6df27cb0860,11/15/2021,60.38333,30.46666
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/15/2021,60.93333,23.51666
64923075-5efb-4956-9b69-3b888ad7678e,11/15/2021,41.86666,16.9
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/15/2021,52.1,22.95
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/15/2021,29.95,5.23333
54d026c7-a5be-4b7c-b4ff-c3a4c204edd5,11/15/2021,1.7,0.5
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/15/2021,70.16666,40.4
40674bfb-a06f-4658-8834-73d566ed96f1,11/15/2021,47.45,27.96666
1628d416-3002-4cec-8f38-1453b708e531,11/15/2021,67.9,39.53333
fdf020a0-2255-45a3-bf8f-690790aa779a,11/15/2021,74.65,43.18333
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,11/15/2021,88.4,49.63333
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/15/2021,60.68333,31.45
07e356ec-3be2-48f4-8bd7-443259321469,11/15/2021,68.88333,33.88333
9dc18c52-52d1-492e-a951-961da5bd2c55,11/15/2021,83.6,39.58333
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/15/2021,47.78333,22.71666
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/15/2021,60.66666,21.76666
642190f4-6e94-464d-b722-af7053996efe,11/15/2021,51.13333,27.46666
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/15/2021,78.05,39.4
ca28e5e6-0944-4cac-9e92-1741421e0165,11/15/2021,81.31666,41.61666
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/15/2021,70.11666,18.76666
37e4b055-d577-4400-8fd1-274f30d71edc,11/15/2021,30.8,14.03333
4e174a23-5fcb-46f7-ad15-1d726129a541,11/15/2021,66.48333,35.2
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/15/2021,30.75,15.43333
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/15/2021,82.2,27.45
1116832d-4532-4ec2-993a-44f35c678991,11/15/2021,38.35,15.66666
33e193cf-2ae5-4763-a586-7d90d15746ca,11/15/2021,63.78333,36.33333
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/15/2021,62.1,29.8
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/15/2021,63.33333,18.98333
42d1861f-7e1c-4d83-b912-84a7351870c4,11/15/2021,58.7,17.51666
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/15/2021,65.21666,27.85
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/15/2021,82.31666,39.6
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/15/2021,47.01666,19.38333
fcd39e00-30e7-4893-9a26-907e29d33f22,11/15/2021,64.91666,33.41666
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/15/2021,65.36666,29.38333
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/15/2021,65.98333,18.35
4e7ce887-6332-4c87-883b-2704ca6279ee,11/15/2021,62.58333,15.25
5070b315-eba0-4478-bd47-2fc1318bec56,11/15/2021,73.3,35.58333
38892d97-929e-419b-8e77-28ead1e48ba9,11/15/2021,64.8,32.13333
d1326348-cea6-4e6b-bf82-b536959797ad,11/15/2021,72.1,38.15
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/15/2021,74.2,32.65
52fb4a5c-dd17-44af-b100-6e184f842f00,11/15/2021,78.06666,42.45
801589ab-55c1-48e4-962d-2e6478d895a3,11/15/2021,63.05,14.91666
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/15/2021,18.86666,7.98333
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/15/2021,88.21666,38.11666
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/15/2021,35.06666,13.9
92679160-f742-4424-a6df-b6424ee49c81,11/15/2021,81.93333,46.6
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/15/2021,39.76666,11.58333
05b21f09-82bd-4700-b129-2924d9caa0c8,11/15/2021,74.01666,42.7
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/15/2021,78.31666,36.31666
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/15/2021,70.23333,36.2
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/15/2021,72.6,39.06666
6571bd8c-2934-48ea-970a-f5a729e244d6,11/15/2021,58.48333,28.06666
1e2a43b1-10c7-4530-8582-9004904da430,11/15/2021,23.23333,10.63333
64f548b6-2c66-4147-8968-03edf1b70730,11/15/2021,60.55,24.53333
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/15/2021,63.15,30.65
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/15/2021,68.13333,34.33333
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/15/2021,62.28333,18.85
0d0997c0-e952-46c3-af4d-0a38987ee076,11/15/2021,83.41666,15.45
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/15/2021,61.43333,37.2
3ad75905-9ba9-4323-9e93-41f23e6234ee,11/15/2021,65.7,16.2
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/15/2021,71.48333,38.78333
fc566d15-8f50-45e5-b053-dbacc66156b8,11/15/2021,77.85,21.08333
18306656-762e-484f-8fb9-f363082beee5,11/15/2021,62.66666,27.63333
2381265f-c6b6-4eed-b612-05be3016ce84,11/15/2021,74.03333,43.73333
684e978b-efc4-4507-a42b-12f8d5b1d842,11/15/2021,36.88333,23.18333
7484ab64-c7ba-48a9-8086-220bcf65dc4c,11/15/2021,18.8,7.93333
a4812789-4bcb-43fb-ae12-36d5830c721a,11/15/2021,51.51666,20.78333
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/15/2021,67.81666,23.81666
c311ff34-354f-4d84-9f1d-e1c3001f3de4,11/15/2021,60.68333,23.16666
a1446a7d-2373-4286-b148-572dbc29cc4b,11/15/2021,29.31666,15.75
cefc3776-aaf8-4ab9-ac7c-aff0753fbf38,11/15/2021,40.58333,8.48333
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/15/2021,69.28333,38.78333
1be5bb04-5d57-48a3-84f9-276289d054d2,11/15/2021,40.31666,17.81666
7043246b-2b90-4673-ba40-920dc13eb064,11/15/2021,77.66666,30.1
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/15/2021,62.68333,26.6
0abee682-7cb7-4a49-97e0-a112d05f2dac,11/15/2021,52.98333,30.25
fc27465a-f75d-4e44-ac84-bd12d2e582d3,11/15/2021,4.46666,2.21666
f461930b-f3b0-42a2-989d-21551dd730ad,11/15/2021,66.16666,38.75
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/15/2021,60.86666,33.6
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/15/2021,24.73333,14.65
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/15/2021,73.6,38.53333
cc955133-9e3a-4959-bc22-4eebe4236412,11/15/2021,89.91666,52.03333
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/15/2021,57.55,28.9
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/15/2021,62.66666,26.73333
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/15/2021,70.6,28.41666
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/15/2021,61.51666,26.1
828ab3a8-b5b4-4465-90d9-f1c1eaa4b08b,11/15/2021,82.9,42.26666
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/15/2021,60.11666,23.05
aa0c2e75-7b43-49a2-9249-b931436539b2,11/15/2021,72.01666,23.81666
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/15/2021,60.83333,32.86666
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/15/2021,75.75,16.08333
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/15/2021,28.71666,5.18333
7894e94d-6a17-4814-8064-c5e779834dca,11/15/2021,55.63333,15.7
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/15/2021,60.15,19.16666
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/15/2021,72.65,31.15
60e24218-a9cd-4344-a79e-ddbc78345e34,11/15/2021,62.5,24.85
0cae36d8-3521-4112-bbeb-a937995f220c,11/15/2021,47.01666,28.58333
4378e378-898e-43fd-a1c8-0f22d59621e8,11/15/2021,58.23333,20.15
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/15/2021,38.2,7.31666
0c09298b-4156-483c-b8ca-f7bff13693d3,11/15/2021,63.75,33.11666
cefa509f-c3db-4a0a-a591-436cda98f832,11/15/2021,74.26666,47
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/15/2021,78.6,43.85
0bd4c66a-edb4-4b46-b789-903fec02357b,11/15/2021,63.13333,23
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/15/2021,60.11666,25.48333
e351c89a-c080-4e55-a68f-967d30651a76,11/15/2021,63.36666,21
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/15/2021,33.61666,14.56666
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/15/2021,73.03333,38.61666
64b1af9b-1e55-470d-85db-341ad457c1c9,11/15/2021,63.61666,28.56666
a20cd138-ffad-455d-a834-a6344531b3dc,11/15/2021,63.58333,17.68333
73e127c0-dd7f-4637-8126-ae278fade6cf,11/15/2021,16.55,6.58333
ea0274de-ed88-4718-b64e-bb0342eb7574,11/15/2021,23.3,11.8
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/15/2021,78.76666,36.41666
0c219f52-1435-4b21-994a-6a3bd25d974e,11/15/2021,61.16666,18.1
d0233aeb-ef6b-4576-a686-6d268a3e1edf,11/15/2021,60.58333,19.53333
c4328d0c-7df6-458b-9ee3-c355a0489473,11/15/2021,36.45,17.45
23767254-acb5-4577-b91d-899f148305b7,11/15/2021,64.41666,35.56666
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/15/2021,73.78333,38.13333
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/15/2021,58.96666,28.58333
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/15/2021,60.76666,30.88333
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/15/2021,60.95,22.81666
2285677b-2537-479b-8a59-c28382950172,11/15/2021,75.41666,15.93333
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/15/2021,62.93333,21.28333
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/15/2021,67.66666,28.75
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/15/2021,51.55,28.11666
